ID_OKE;wojewodztwo;powiat;gmina;typ_gminy;kod_teryt_gminy;RSPO;ID_szkoły;nazwa_szkoly;miejscowosc;ulica_nr;typ_placowki;rodzaj_placowki;czy_publiczna;O_otrzymali_swiadectwo_dojrzałosci;O_liczba_zdających;O_zdawalnosc;PPP_liczba_zdajacych;PPP_liczba_laureatow;PPP_zdawalnosc;PPP_mean;PPP_std;PPP_median;PPP_mode;PPU_liczba_zdajacych;PPU_zdawalnosc;PPU_mean;APP_liczba_zdajacych;APP_liczba_laureatow;APP_zdawalnosc;APP_mean;APP_std;APP_median;APP_mode;APU_liczba_zdajacych;APU_zdawalnosc;APU_mean;MP_liczba_zdajacych;MP_liczba_laureatow;MP_zdawalnosc;MP_mean;MP_std;MP_median;MP_mode;AR_liczba_zdajacych;AR_liczba_laureatow;AR_mean;AR_std;AR_median;AR_mode;PR_liczba_zdajacych;PR_liczba_laureatow;PR_mean;PR_std;PR_median;PR_mode
6;Wielkopolskie;pilski;Miasteczko Krajeńskie;obszar wiejski;3019055;82506;301905-1931S;TECHNIKUM W BRZOSTOWIE;Brzostowo;ul. Wacława Popiela 4;technikum;dla młodzieży;Tak;11;11;100;11;;100;48.72727273;7.059370421;48;47;11;100;40.90909091;11;;100;68.63636364;11.31589973;68;60;11;100;76.09090909;11;;100;68.36363636;8.977474106;68;60;2;;;;;;1;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;105350;301901-01342;TECHNIKUM NR 4 W PILE;Piła;ul. Kilińskiego 16;technikum;dla młodzieży;Tak;63;75;84;76;;96;56.46052632;15.87487322;58;70;75;96;53.17333333;73;;95.83333333;73.06849315;24.50570455;78;97;72;100;78.18055556;76;;86.66666667;49.65789474;21.64398095;46;42;35;;62.45714286;22.16991895;65;63;6;;26.66666667;24.37667373;17;17
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;105259;301901-0212F;III LICEUM OGÓLNOKSZTAŁCĄCE W PILE;Piła;ul. Teatralna 1;liceum;dla młodzieży;Tak;7;8;87.5;9;;100;55.11111111;13.12710888;55;43;8;87.5;45.375;9;;87.5;43.66666667;23.15167381;38;;8;87.5;47.875;9;;87.5;47.77777778;16.87718893;42;30;2;;;;;;5;;13.8;9.282241109;17;3
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;109672;301901-0234R;TECHNIKUM NR 2 W PILE;Piła;ul. Teatralna 1;technikum;dla młodzieży;Tak;37;51;72.54901961;51;;94.11764706;52.84313725;16.34358128;53;48;51;98.03921569;39.19607843;51;;90.19607843;67.15686275;25.76087058;72;93;51;92.15686275;64.23529412;51;;74.50980392;38.90196078;19.62117194;36;20;31;;51.87096774;26.05668998;52;17;2;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;46651;301901-0332Q;TECHNIKUM NR 5 W PILE;Piła;ul. gen. Sikorskiego 73;technikum;dla młodzieży;Tak;34;53;64.1509434;53;;92.45283019;52.24528302;15.45401659;53;58;53;90.56603774;54.43396226;52;;90.38461538;66.23076923;25.39580173;69;47;52;100;74.11538462;53;;64.1509434;35.47169811;16.50683538;34;14;17;;54.35294118;24.56908908;53;53;;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;56020;301901-07111;II LICEUM OGÓLNOKSZTAŁCĄCE W PILE;Piła;al. Powstańców Wielkopolskich 18;liceum;dla młodzieży;Tak;149;149;100;149;;100;67.22147651;13.16383374;67;57;149;100;71.86577181;149;;100;89.10738255;14.40317869;95;98;149;100;84.48322148;149;;100;77.24832215;17.77786348;80;98;124;;72.11290323;20.44670873;77;92;42;;57.80952381;22.58553909;55.5;43
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;11939;301901-0810V;II LICEUM OGÓLNOKSZTAŁCĄCE SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO W PILE;Piła;al. Powstańców Wielkopolskich 83;liceum;dla młodzieży;Nie;20;20;100;20;;100;71.1;11.41446451;71;83;20;100;95.5;20;;100;98.7;2.076053949;100;100;20;100;95.4;20;;100;93;10.009995;98;100;20;;87.6;9.248783704;90;92;4;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;105232;301901-0933R;TECHNIKUM NR 1 W PILE;Piła;ul. Ceglana 4;technikum;dla młodzieży;Tak;87;101;86.13861386;101;;93.06930693;51.2970297;15.15500411;52;60;101;100;51.15841584;101;;97.02970297;82.87128713;20.45940843;92;98;101;100;75.72277228;101;;86.13861386;57.10891089;25.2174311;58;26;80;;66.95;22.99451021;73;85;1;;;;;
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;14597;301901-1010Y;LICEUM OGÓLNOKSZTAŁCĄCE TOWARZYSTWA SALEZJAŃSKIEGO IM.ŚW.JANA BOSKO;Piła;ul. Edwarda Dembowskiego 4;liceum;dla młodzieży;Nie;56;56;100;56;1;100;69.42857143;14.22379438;70;63;56;100;87.82142857;55;;100;87.94444444;14.94361832;95;98;55;100;95.41818182;56;;100;78.82142857;17.56935963;82;92;45;;74.93333333;21.86158478;82;93;17;1;71.70588235;22.41523827;77;100
6;Wielkopolskie;pilski;Piła;gmina miejska;3019011;105343;301901-1132Z;TECHNIKUM NR 3 W PILE;Piła;ul. gen. Sikorskiego 18A;technikum;dla młodzieży;Tak;93;117;79.48717949;117;;95.72649573;52.53846154;13.38677652;53;57;117;98.29059829;52.73504274;117;;91.45299145;69.70940171;24.99266895;75;98;117;98.29059829;71.83760684;117;;82.90598291;50.90598291;22.91790734;48;28;68;;55.69117647;24.36321803;57;57;27;;23.07407407;28.09366071;3;0
