RSPO;nazwa_szkoly;pelna_nazwa_szkoly;publicznosc_status;wojewodztwo;powiat;gmina;typ_gminy;miejscowosc;rodzaj_miejscowości;ulica_nr;numer_budynku;kod_pocztowy;23.0_O_otrzymali_swiadectwo_dojrzałosci;23.0_O_liczba_zdających;23.0_O_zdawalnosc;23.0_polski_liczba_zdajacych;23.0_polski_liczba_laureatow;23.0_polski_zdawalnosc;23.0_polski_mean;23.0_polski_median;23.0_avg_threshold;23.0_median_threshold;24.0_O_otrzymali_swiadectwo_dojrzałosci;24.0_O_liczba_zdających;24.0_O_zdawalnosc;24.0_polski_liczba_zdajacych;24.0_polski_liczba_laureatow;24.0_polski_zdawalnosc;24.0_polski_mean;24.0_polski_median;24.0_avg_threshold;24.0_median_threshold;25.0_O_otrzymali_swiadectwo_dojrzałosci;25.0_O_liczba_zdających;25.0_O_zdawalnosc;25.0_polski_liczba_zdajacych;25.0_polski_liczba_laureatow;25.0_polski_zdawalnosc;25.0_polski_mean;25.0_polski_median;25.0_avg_threshold;25.0_median_threshold;czy_publiczna;kategoria_uczniow;data_zalozenia;data_rozpoczecia_dzialalnosci;typ_podmiotu_nadrzednego;liczba_uczniow;tereny_sportowe;jezyki_nauczane;czy_zatrudnia_logopede;czy_zatrudnia_psychologa;czy_zatrudnia_pedagoga;oddzialy_podstawowe_wg_specyfiki;oddzialy_dodatkowe
4043;iiilocyprianakamilanorwidawkielcach;III LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. CYPRIANA KAMILA NORWIDA W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul jagiellonska 4;"=""4""";"=""25-613""";165.0;167.0;98.80239521;167.0;;99.4011976;65.33939394;67.0;;;187.0;188.0;99.46808511;188.0;;99.46808511;66.85638298;67.0;147.01;146.6;170.0;170.0;100.0;170.0;;100.0;67.56470588;68.0;143.8;144.125;Tak;Dzieci lub młodzież;1966.06.30;1966.06.30;;852.0;inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki, rosyjski, włoski;Nie;Tak;Tak;ogólnodostępny, integracyjny, dwujęzyczny w szkole podstawowej, liceum i technikum;
4045;iakademickielozasluzonychludzimorza;I AKADEMICKIE LICEUM OGÓLNOKSZTAŁCĄCE IM. ZASŁUŻONYCH LUDZI MORZA;publiczna;POMORSKIE;Gdynia;Gdynia;gmina miejska;gdynia;miasto;ul narcyzowa 6;"=""6""";"=""81-653""";113.0;113.0;100.0;113.0;;100.0;69.08849558;70.0;155.74;156.65;115.0;115.0;100.0;115.0;;100.0;69.96521739;70.0;130.74;116.7;73.0;74.0;98.64864865;74.0;;100.0;70.78378378;72.0;155.17857142857142;157.7;Tak;Dzieci lub młodzież;1948.08.31;1948.08.31;;513.0;boiska do piłki ręcznej, bieżnie proste, skocznie, rzutnie, boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki;Tak;Tak;Tak;ogólnodostępny;
4434;xxilostanislawaignacegowitkiewiczawitkacegowkrakowie;XXI LICEUM OGÓLNOKSZTAŁCĄCE IM. STANISŁAWA IGNACEGO WITKIEWICZA-WITKACEGO W KRAKOWIE;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Nowa Huta;gmina miejska;krakow nowa huta;delegatura;os osiedle tysiaclecia 15;"=""15""";"=""31-606""";18.0;18.0;100.0;18.0;;100.0;79.44444444;82.0;51.1;51.1;13.0;14.0;92.85714286;14.0;;100.0;65.0;65.0;;;28.0;32.0;87.5;32.0;;100.0;70.6875;70.0;69.55000000000001;69.55000000000001;Tak;Dzieci lub młodzież;1991.06.14;1991.09.01;;143.0;;angielski, hiszpański, włoski;Nie;Nie;Tak;ogólnodostępny;
4435;xlokomisjiedukacjinarodowejwkrakowie;X LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ W KRAKOWIE;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;gmina miejska;krakow srodmiescie;delegatura;ul zygmunta wroblewskiego 8;"=""8""";"=""31-148""";189.0;189.0;100.0;189.0;;100.0;76.75132275;77.0;168.92142857142858;169.25;177.0;177.0;100.0;177.0;;100.0;74.50847458;75.0;164.04166666666666;165.125;190.0;190.0;100.0;190.0;;100.0;76.7;77.0;168.6916666666667;169.3;Tak;Dzieci lub młodzież;1953.06.20;1953.09.01;;758.0;boiska do piłki nożnej;angielski, francuski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny;
4577;vilojuliuszaslowackiegowkielcach;VI LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul majora jurija gagarina 5;"=""5""";"=""25-031""";223.0;223.0;100.0;223.0;5.0;100.0;70.31531532;70.0;;;153.0;153.0;100.0;153.0;;100.0;73.18954248;75.0;157.07999999999998;157.85;204.0;204.0;100.0;204.0;1.0;100.0;69.75980392;70.0;159.6;159.0;Tak;Dzieci lub młodzież;1960.08.18;1960.09.01;;1058.0;;angielski, francuski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny, międzynarodowy, dwujęzyczny w szkole podstawowej, liceum i technikum;
4648;xvilokrzysztofakamilabaczynskiegowkrakowie;XVI LICEUM OGÓLNOKSZTAŁCĄCE IM. KRZYSZTOFA KAMILA BACZYŃSKIEGO W KRAKOWIE;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Nowa Huta;gmina miejska;krakow nowa huta;delegatura;os osiedle willowe 1;"=""1""";"=""31-901""";111.0;116.0;95.68965517;117.0;;99.13793103;65.22222222;67.0;;;103.0;113.0;91.15044248;113.0;;97.34513274;65.80530973;68.0;77.16666666666667;77.85;108.0;114.0;94.73684211;114.0;;99.12280702;54.94690265;57.0;105.49000000000001;116.8;Tak;Dzieci lub młodzież;1971.06.20;1971.09.01;;510.0;boiska do siatkówki, boiska do koszykówki, boiska do piłki ręcznej;angielski, hiszpański, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny, przygotowania wojskowego;
4735;vloaugustawitkowskiegowkrakowie;V LICEUM OGÓLNOKSZTAŁCĄCE IM. AUGUSTA WITKOWSKIEGO W KRAKOWIE;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Śródmieście;gmina miejska;krakow srodmiescie;delegatura;ul studencka 12;"=""12""";"=""31-116""";249.0;249.0;100.0;249.0;2.0;100.0;83.3935743;87.0;179.3;179.14999999999998;226.0;226.0;100.0;226.0;1.0;100.0;82.34375;85.0;171.65;173.25;240.0;240.0;100.0;240.0;9.0;100.0;81.17083333;83.0;180.08125;179.925;Tak;Dzieci lub młodzież;1871.09.01;1871.09.01;;948.0;;angielski, francuski, hiszpański, niemiecki, rosyjski, włoski;Nie;Tak;Tak;ogólnodostępny;
4748;vlokspiotrasciegiennegowkielcach;V LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. PIOTRA ŚCIEGIENNEGO W KIELCACH;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul marszalkowska 96;"=""96""";"=""25-549""";204.0;205.0;99.51219512;205.0;1.0;99.51219512;64.89268293;65.0;;;153.0;154.0;99.35064935;154.0;;100.0;64.99350649;65.0;130.51250000000002;132.3;184.0;185.0;99.45945946;185.0;;99.45945946;65.07567568;67.0;137.475;136.7;Tak;Dzieci lub młodzież;1966.07.01;1966.09.01;;852.0;;angielski, francuski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny;
4881;ixlozygmuntawroblewskiegowkrakowie;IX LICEUM OGÓLNOKSZTAŁCĄCE IM. ZYGMUNTA WRÓBLEWSKIEGO W KRAKOWIE;publiczna;MAŁOPOLSKIE;Kraków;Kraków-Krowodrza;gmina miejska;krakow krowodrza;delegatura;ul kazimierza czapinskiego 5;"=""5""";"=""30-048""";121.0;122.0;99.18032787;122.0;;100.0;70.23770492;70.0;158.66;154.75;126.0;126.0;100.0;126.0;;100.0;67.58730159;68.0;149.175;149.35000000000002;125.0;125.0;100.0;125.0;;100.0;72.792;75.0;163.3625;165.075;Tak;Dzieci lub młodzież;1958.09.02;1958.09.02;;493.0;boiska do siatkówki, boiska do koszykówki;angielski, francuski, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny;
5366;ivlocyprianakamilanorwidawbialymstoku;IV LICEUM OGÓLNOKSZTAŁCĄCE IM. CYPRIANA KAMILA NORWIDA W BIAŁYMSTOKU;publiczna;PODLASKIE;Białystok;Białystok;gmina miejska;bialystok;miasto;ul zwierzyniecka 9a;"=""9A""";"=""15-312""";240.0;240.0;100.0;240.0;1.0;100.0;73.16666667;73.0;;;224.0;226.0;99.11504425;226.0;1.0;99.55752212;69.82743363;72.0;154.175;155.275;229.0;229.0;100.0;229.0;;100.0;63.36681223;63.0;131.93055555555554;160.675;Tak;Dzieci lub młodzież;1971.06.11;1971.09.01;;987.0;bieżnie proste, boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, łacina, niemiecki, rosyjski;Nie;Tak;Nie;ogólnodostępny, sportowy;
