RSPO;nazwa_szkoly;publicznosc_status;wojewodztwo;powiat;gmina;typ_gminy;miejscowosc;rodzaj_miejscowości;ulica_nr;numer_budynku;kod_pocztowy;23.0_O_otrzymali_swiadectwo_dojrzałosci;23.0_O_liczba_zdających;23.0_O_zdawalnosc;23.0_polski_liczba_zdajacych;23.0_polski_liczba_laureatow;23.0_polski_zdawalnosc;23.0_polski_mean;23.0_polski_median;23.0_avg_threshold;23.0_median_threshold;24.0_O_otrzymali_swiadectwo_dojrzałosci;24.0_O_liczba_zdających;24.0_O_zdawalnosc;24.0_polski_liczba_zdajacych;24.0_polski_liczba_laureatow;24.0_polski_zdawalnosc;24.0_polski_mean;24.0_polski_median;24.0_avg_threshold;24.0_median_threshold;25.0_O_otrzymali_swiadectwo_dojrzałosci;25.0_O_liczba_zdających;25.0_O_zdawalnosc;25.0_polski_liczba_zdajacych;25.0_polski_liczba_laureatow;25.0_polski_zdawalnosc;25.0_polski_mean;25.0_polski_median;25.0_avg_threshold;25.0_median_threshold;czy_publiczna;kategoria_uczniow;data_zalozenia;data_rozpoczecia_dzialalnosci;typ_podmiotu_nadrzednego;liczba_uczniow;tereny_sportowe;jezyki_nauczane;czy_zatrudnia_logopede;czy_zatrudnia_psychologa;czy_zatrudnia_pedagoga;oddzialy_podstawowe_wg_specyfiki;oddzialy_dodatkowe
5738;vlowladyslawabroniewskiego;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul gen zygmunta waltera jankego 65;"=""65""";"=""40-615""";67.0;83.0;80.72289157;83.0;;100.0;57.14457831;57.0;106.55;106.55;37.0;46.0;80.43478261;47.0;;100.0;68.97826087;71.0;106.55;106.55;52.0;56.0;92.85714286;57.0;;100.0;63.64912281;62.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;Zespół szkół i placówek oświatowych;161.0;;angielski, niemiecki, włoski;Nie;Nie;Nie;ogólnodostępny;
7000;vloadamaasnyka;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul ofiar oswiecimia 14;"=""14""";"=""71-537""";115.0;115.0;100.0;115.0;;100.0;80.05217391;82.0;171.4625;171.375;128.0;128.0;100.0;128.0;;100.0;79.6484375;82.0;171.4625;171.375;116.0;116.0;100.0;116.0;1.0;100.0;75.74137931;77.0;171.4625;171.375;Tak;Dzieci lub młodzież;1948.09.01;1948.09.01;;608.0;boiska do piłki nożnej, skocznie, inne urządzenia sportowe, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
7670;ilomikolajakopernika;publiczna;KUJAWSKO-POMORSKIE;Toruń;Toruń;gmina miejska;torun;miasto;ul zaulek prosowy 1;"=""1""";"=""87-100""";160.0;160.0;100.0;160.0;;100.0;74.25;77.0;164.34;159.4;159.0;159.0;100.0;159.0;;100.0;77.95597484;78.0;164.34;159.4;162.0;162.0;100.0;162.0;1.0;100.0;76.04938272;77.0;164.34;159.4;Tak;Dzieci lub młodzież;1975.12.15;1975.12.15;;731.0;boiska uniwersalne/wielozadaniowe;angielski, francuski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny;
7863;xlojozefawybickiego;publiczna;ŚWIĘTOKRZYSKIE;Kielce;Kielce;gmina miejska;kielce;miasto;ul jagiellonska 90;"=""90""";"=""25-734""";70.0;92.0;76.08695652;92.0;;83.69565217;48.95604396;50.0;;;68.0;77.0;88.31168831;77.0;;97.4025974;53.71428571;57.0;146.3;136.575;71.0;81.0;87.65432099;82.0;;96.2962963;56.80487805;60.0;146.3;136.575;Tak;Dzieci lub młodzież;2002.06.06;2002.09.01;Zespół szkół i placówek oświatowych;672.0;;angielski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny, sportowy, mistrzostwa sportowego, profil mundurowy;
7983;xxilo;publiczna;POMORSKIE;Gdańsk;Gdańsk;gmina miejska;gdansk;miasto;ul kolobrzeska 77;"=""77""";"=""80-396""";57.0;69.0;82.60869565;69.0;;94.20289855;51.37681159;53.0;86.4375;99.05000000000001;54.0;60.0;90.0;60.0;;100.0;55.25423729;55.0;86.4375;99.05000000000001;49.0;69.0;71.01449275;69.0;;86.95652174;46.84057971;48.0;86.4375;99.05000000000001;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;454.0;boiska do koszykówki, boiska do piłki nożnej;angielski, niemiecki;Nie;Nie;Nie;ogólnodostępny, sportowy;
8576;viilokkbaczynskiego;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul jana styki 13;"=""13""";"=""71-138""";99.0;104.0;95.19230769;104.0;;98.07692308;61.91346154;62.0;97.5;95.75;74.0;80.0;92.5;80.0;;98.75;66.3125;68.0;97.5;95.75;95.0;100.0;95.0;100.0;;100.0;61.76;62.5;97.5;95.75;Tak;Dzieci lub młodzież;1968.07.01;1968.09.01;;590.0;boiska do piłki nożnej, bieżnie proste, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
8771;vlojanapawlaii;publiczna;KUJAWSKO-POMORSKIE;Toruń;Toruń;gmina miejska;torun;miasto;ul henryka sienkiewicza 34;"=""34""";"=""87-100""";128.0;128.0;100.0;128.0;1.0;100.0;67.984375;68.0;155.7625;155.47500000000002;184.0;184.0;100.0;184.0;;100.0;70.25;68.0;155.7625;155.47500000000002;160.0;160.0;100.0;160.0;;100.0;71.56875;72.0;155.7625;155.47500000000002;Tak;Dzieci lub młodzież;1975.12.15;1975.12.15;;625.0;boiska uniwersalne/wielozadaniowe;angielski, francuski, niemiecki;Nie;Tak;Tak;ogólnodostępny;
8796;viilowandyszuman;publiczna;KUJAWSKO-POMORSKIE;Toruń;Toruń;gmina miejska;torun;miasto;ul stefana batorego 39b;"=""39B""";"=""87-100""";93.0;96.0;96.875;96.0;;98.95833333;59.77083333;60.0;99.925;97.95;101.0;107.0;94.39252336;107.0;;97.19626168;54.78504673;57.0;99.925;97.95;86.0;92.0;93.47826087;94.0;;97.82608696;49.86021505;50.0;99.925;97.95;Tak;Dzieci lub młodzież;1991.09.01;1991.09.01;;436.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki, rosyjski, włoski;Nie;Tak;Tak;ogólnodostępny, integracyjny;
8803;ixlokazimierzajagielonczyka;publiczna;KUJAWSKO-POMORSKIE;Toruń;Toruń;gmina miejska;torun;miasto;ul ludwika rydygiera 12a;"=""12A""";"=""87-100""";86.0;93.0;92.47311828;93.0;;100.0;56.43010753;55.0;;;96.0;99.0;96.96969697;100.0;;97.97979798;62.78;65.0;;;70.0;81.0;86.41975309;81.0;;97.5308642;53.7037037;55.0;115.775;117.0;Tak;Dzieci lub młodzież;1992.04.28;1992.04.28;;791.0;boiska do koszykówki, boiska do piłki ręcznej;angielski, hiszpański, niemiecki;Tak;Tak;Tak;ogólnodostępny;
10699;ilomikolajakopernika;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul henryka sienkiewicza 74;"=""74""";"=""40-039""";158.0;158.0;100.0;158.0;;100.0;76.9556962;78.0;167.49285714285716;168.6;138.0;138.0;100.0;138.0;;100.0;73.36956522;75.0;;;142.0;142.0;100.0;142.0;;100.0;69.63380282;70.0;;;Tak;Dzieci lub młodzież;1999.09.01;1999.09.01;Zespół szkół i placówek oświatowych;600.0;;angielski, francuski, hiszpański, niemiecki;Tak;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
10803;ixlohenrykasienkiewicza;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul boleslawa chrobrego 4;"=""4""";"=""40-881""";3.0;4.0;;4.0;;;;;70.3;70.3;2.0;7.0;28.57142857;7.0;;85.71428571;63.0;63.0;;;1.0;3.0;;3.0;;;;;;;Tak;Dzieci lub młodzież;2010.03.22;2010.09.01;Zespół szkół i placówek oświatowych;81.0;;angielski, niemiecki;Nie;Tak;Tak;integracyjny, specjalny;
10812;vilojanadlugosza;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul lwowska 2;"=""2""";"=""40-389""";25.0;30.0;83.33333333;30.0;;93.33333333;58.26666667;60.0;68.65;68.65;17.0;22.0;77.27272727;22.0;;100.0;61.0;60.0;68.65;68.65;33.0;40.0;82.5;40.0;;95.0;52.8;53.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;360.0;skocznie, boiska uniwersalne/wielozadaniowe;angielski, niemiecki, włoski;Nie;Tak;Tak;ogólnodostępny, integracyjny, sportowy;
10840;viiilomariisklodowskiejcurie;publiczna;ŚLĄSKIE;Katowice;Katowice;gmina miejska;katowice;miasto;ul 3 maja 42;"=""42""";"=""40-097""";121.0;121.0;100.0;121.0;;100.0;77.38333333;78.0;139.79999999999998;156.0;164.0;165.0;99.39393939;165.0;;99.39393939;71.50909091;72.0;;;141.0;141.0;100.0;141.0;;100.0;66.87234043;67.0;;;Tak;Dzieci lub młodzież;2002.09.01;2002.09.01;;599.0;boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki, rosyjski;Nie;Tak;Tak;ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum;
11305;xviiilojozefawybickiego;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul hoza 3;"=""3""";"=""71-699""";76.0;89.0;85.39325843;89.0;;95.50561798;56.59550562;57.0;74.5875;77.975;58.0;61.0;95.08196721;61.0;;100.0;65.16393443;67.0;74.5875;77.975;72.0;88.0;81.81818182;88.0;;98.86363636;58.70454545;58.0;74.5875;77.975;Tak;Dzieci lub młodzież;1991.06.02;1991.09.01;;473.0;boiska do siatkówki plażowej, bieżnie proste, boiska uniwersalne/wielozadaniowe;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, sportowy;
11480;loxvmjrpiotrawysockiego;publiczna;DOLNOŚLĄSKIE;Wrocław;Wrocław-Fabryczna;gmina miejska;wroclaw fabryczna;delegatura;ul wojrowicka 58;"=""58""";"=""54-436""";143.0;160.0;89.375;162.0;;97.5;61.04320988;63.0;111.75714285714285;114.05;133.0;151.0;88.0794702;153.0;;95.36423841;57.50980392;60.0;111.75714285714285;114.05;166.0;195.0;85.12820513;197.0;;96.41025641;59.19796954;62.0;111.75714285714285;114.05;Tak;Dzieci lub młodzież;1985.09.01;1985.09.01;;1233.0;bieżnie proste, boiska uniwersalne/wielozadaniowe;angielski, niemiecki, rosyjski, ukraiński;Nie;Tak;Tak;ogólnodostępny;Oddział przygotowawczy
11589;xxvlojozefawybickiego;publiczna;MAZOWIECKIE;Warszawa;Wawer;gmina miejska;wawer;dzielnica m.st. Warszawy;ul halna 20;"=""20""";"=""04-961""";172.0;172.0;100.0;172.0;;100.0;68.72093023;68.0;154.61999999999998;153.6;107.0;108.0;99.07407407;108.0;;100.0;67.37962963;67.0;154.61999999999998;153.6;100.0;100.0;100.0;100.0;;100.0;64.95;67.0;154.61999999999998;153.6;Tak;Dzieci lub młodzież;1950.04.14;1950.09.01;;658.0;boiska do piłki nożnej, bieżnie proste, boiska uniwersalne/wielozadaniowe;angielski, hiszpański, niemiecki, rosyjski;Nie;Nie;Tak;ogólnodostępny;
12059;xiilowbydgoszczy;publiczna;KUJAWSKO-POMORSKIE;Bydgoszcz;Bydgoszcz;gmina miejska;bydgoszcz;miasto;ul puszczykowa 11;"=""11""";"=""85-446""";22.0;23.0;95.65217391;23.0;;95.65217391;58.56521739;60.0;81.975;81.975;17.0;20.0;85.0;20.0;;100.0;51.95;53.0;81.975;81.975;17.0;18.0;94.44444444;18.0;;100.0;58.88888889;59.0;81.975;81.975;Tak;Dzieci lub młodzież;1996.09.01;1996.09.01;Zespół szkół i placówek oświatowych;162.0;;angielski, niemiecki;Tak;Tak;Tak;ogólnodostępny;
12144;xiilo;publiczna;PODKARPACKIE;Rzeszów;Rzeszów;gmina miejska;rzeszow;miasto;al tadeusza rejtana 30;"=""30""";"=""35-310""";24.0;27.0;88.88888889;27.0;;100.0;59.2962963;60.0;85.86666666666667;86.6;13.0;15.0;86.66666667;15.0;;100.0;60.53333333;62.0;85.86666666666667;86.6;8.0;13.0;61.53846154;13.0;;92.30769231;49.76923077;53.0;85.86666666666667;86.6;Tak;Dzieci lub młodzież;2009.09.01;2009.09.01;Zespół szkół i placówek oświatowych;271.0;;angielski, hiszpański, niemiecki;Tak;Tak;Tak;integracyjny, terapeutyczny;
12941;xxilosynowpulkowintegracyjnewbydgoszczy;publiczna;KUJAWSKO-POMORSKIE;Bydgoszcz;Bydgoszcz;gmina miejska;bydgoszcz;miasto;ul adama grzymaly siedleckiego 11;"=""11""";"=""85-868""";21.0;25.0;84.0;25.0;;92.0;49.72;50.0;;;14.0;16.0;87.5;16.0;;93.75;47.8125;44.0;31.4;31.4;9.0;11.0;81.81818182;11.0;;81.81818182;48.63636364;57.0;31.4;31.4;Tak;Dzieci lub młodzież;2007.05.30;2007.09.01;Zespół szkół i placówek oświatowych;129.0;;angielski, niemiecki;Tak;Tak;Tak;integracyjny;
13676;lo;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul mazurska 40;"=""40""";"=""70-424""";29.0;33.0;87.87878788;33.0;;96.96969697;55.78787879;60.0;106.40625;109.475;17.0;18.0;94.44444444;18.0;;100.0;78.0;81.0;106.40625;109.475;20.0;22.0;90.90909091;22.0;;100.0;59.72727273;58.0;106.40625;109.475;Tak;Dzieci lub młodzież;1998.09.01;1998.09.01;Zespół szkół i placówek oświatowych;250.0;;angielski, niemiecki;Nie;Tak;Tak;ogólnodostępny, sportowy, mistrzostwa sportowego;
13730;lo;publiczna;ZACHODNIOPOMORSKIE;Szczecin;Szczecin;gmina miejska;szczecin;miasto;ul lucjana rydla 49;"=""49""";"=""70-783""";37.0;43.0;86.04651163;44.0;;93.02325581;49.06818182;46.5;106.40625;109.475;25.0;28.0;89.28571429;29.0;;96.42857143;53.51724138;55.0;106.40625;109.475;9.0;11.0;81.81818182;11.0;;100.0;53.09090909;52.0;106.40625;109.475;Tak;Dzieci lub młodzież;2008.09.01;2008.09.01;Zespół szkół i placówek oświatowych;211.0;;angielski, niemiecki;Tak;Tak;Tak;ogólnodostępny, sportowy, mistrzostwa sportowego;
14520;viiilostanislawawyspianskiego;publiczna;PODKARPACKIE;Rzeszów;Rzeszów;gmina miejska;rzeszow;miasto;ul stanislawa wyspianskiego 16a;"=""16a""";"=""35-111""";134.0;141.0;95.03546099;141.0;;100.0;61.4893617;63.0;105.42;106.45;77.0;82.0;93.90243902;82.0;;100.0;63.81707317;63.0;105.42;106.45;110.0;114.0;96.49122807;114.0;;99.12280702;59.07079646;58.0;105.42;106.45;Tak;Dzieci lub młodzież;1992.09.01;1992.09.01;;833.0;boiska do siatkówki plażowej;angielski, hiszpański, niemiecki;Nie;Tak;Tak;ogólnodostępny;
15300;ogolnoksztalcacych8wgdanskuxivlojanapawlaii;publiczna;POMORSKIE;Gdańsk;Gdańsk;gmina miejska;gdansk;miasto;ul janusza meissnera 9;"=""9""";"=""80-462""";112.0;115.0;97.39130435;115.0;;99.13043478;54.17391304;53.0;;;74.0;78.0;94.87179487;79.0;;98.71794872;64.83333333;67.0;135.45000000000002;134.05;68.0;77.0;88.31168831;77.0;;93.50649351;51.50649351;50.0;135.45000000000002;134.05;Tak;Dzieci lub młodzież;1991.09.01;1991.09.01;Zespół szkół i placówek oświatowych;591.0;;angielski, niemiecki;Tak;Tak;Nie;ogólnodostępny;
