RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
7670;ilomikolajakopernika;torun;KUJAWSKO-POMORSKIE;publiczna;164.34;77.95597484;100.0;159.0;3.919100901860247;;;Srodek;Dzieci lub młodzież;gmina miejska;731.0
7709;xxviiilowojciechabednarskiegowkrakowie;krakow podgorze;MAŁOPOLSKIE;publiczna;146.5125;61.8989899;97.0;100.0;-8.699361160075348;;;Maruderzy;Dzieci lub młodzież;gmina miejska;415.0
7713;ilobartlomiejanowodworskiegowkrakowie;krakow srodmiescie;MAŁOPOLSKIE;publiczna;173.02857142857144;79.13114754;99.45652174;184.0;3.418444033225285;;;Srodek;Dzieci lub młodzież;gmina miejska;824.0
7753;ilomikolajakopernikawgdansku;gdansk;POMORSKIE;publiczna;168.86;73.72592593;100.0;135.0;-1.1827541171764153;;;Srodek;Dzieci lub młodzież;gmina miejska;660.0
7863;xlojozefawybickiego;kielce;ŚWIĘTOKRZYSKIE;publiczna;146.3;53.71428571;88.31168831;77.0;-16.84307889030316;;;Maruderzy;Dzieci lub młodzież;gmina miejska;672.0
7983;xxilo;gdansk;POMORSKIE;publiczna;86.4375;55.25423729;90.0;60.0;-3.757000495655518;;;Srodek;Dzieci lub młodzież;gmina miejska;454.0
8286;ivlotadeuszakosciuszkiwkrakowie;krakow podgorze;MAŁOPOLSKIE;publiczna;169.9857142857143;73.54135338;100.0;133.0;-1.5844515767595055;;;Srodek;Dzieci lub młodzież;gmina miejska;769.0
8461;iiilosamuelabogumilalindego;torun;KUJAWSKO-POMORSKIE;publiczna;111.075;66.46621622;94.55782313;148.0;2.702960068992539;;;Srodek;Dzieci lub młodzież;gmina miejska;826.0
8576;viilokkbaczynskiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;97.5;66.3125;92.5;80.0;5.167555337968793;;;Srodek;Dzieci lub młodzież;gmina miejska;590.0
8771;vlojanapawlaii;torun;KUJAWSKO-POMORSKIE;publiczna;155.7625;70.25;100.0;184.0;-2.13246754427648;;;Srodek;Dzieci lub młodzież;gmina miejska;625.0
8796;viilowandyszuman;torun;KUJAWSKO-POMORSKIE;publiczna;99.925;54.78504673;94.39252336;107.0;-6.82762576707853;;;Srodek;Dzieci lub młodzież;gmina miejska;436.0
8803;ixlokazimierzajagielonczyka;torun;KUJAWSKO-POMORSKIE;publiczna;115.775;62.78;96.96969697;100.0;-1.8897802024393968;;;Srodek;Dzieci lub młodzież;gmina miejska;791.0
