RSPO;nazwa_szkoly;miejscowosc;wojewodztwo;publicznosc_status;prog;wynik;zdawalnosc;n_zdajacych;res_prog_wynik;res_wynik_zdaw;outlier_score;grupa;kategoria_uczniow;typ_gminy;liczba_uczniow
7753;ilomikolajakopernikawgdansku;gdansk;POMORSKIE;publiczna;168.86;77.38922156;100.0;167.0;2.9874811974529365;;;Srodek;Dzieci lub młodzież;gmina miejska;660.0
7863;xlojozefawybickiego;kielce;ŚWIĘTOKRZYSKIE;publiczna;146.3;56.80487805;87.65432099;82.0;-12.895903991124797;;;Maruderzy;Dzieci lub młodzież;gmina miejska;672.0
7983;xxilo;gdansk;POMORSKIE;publiczna;86.4375;46.84057971;71.01449275;69.0;-10.38630527810438;;;Maruderzy;Dzieci lub młodzież;gmina miejska;454.0
8286;ivlotadeuszakosciuszkiwkrakowie;krakow podgorze;MAŁOPOLSKIE;publiczna;169.9857142857143;66.69411765;100.0;170.0;-7.94219434104761;;;Srodek;Dzieci lub młodzież;gmina miejska;769.0
8461;iiilosamuelabogumilalindego;torun;KUJAWSKO-POMORSKIE;publiczna;111.075;58.25157233;98.11320755;159.0;-4.109171729205485;;;Srodek;Dzieci lub młodzież;gmina miejska;826.0
8576;viilokkbaczynskiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;97.5;61.76;95.0;100.0;2.2279575903205355;;;Srodek;Dzieci lub młodzież;gmina miejska;590.0
8771;vlojanapawlaii;torun;KUJAWSKO-POMORSKIE;publiczna;155.7625;71.56875;100.0;160.0;-0.1037881633082236;;;Srodek;Dzieci lub młodzież;gmina miejska;625.0
8796;viilowandyszuman;torun;KUJAWSKO-POMORSKIE;publiczna;99.925;49.86021505;93.47826087;94.0;-10.177138704069925;;;Maruderzy;Dzieci lub młodzież;gmina miejska;436.0
8803;ixlokazimierzajagielonczyka;torun;KUJAWSKO-POMORSKIE;publiczna;115.775;53.7037037;86.41975309;81.0;-9.63640667616847;;;Maruderzy;Dzieci lub młodzież;gmina miejska;791.0
9283;iloksstanislawakonarskiegowrzeszowie;rzeszow;PODKARPACKIE;publiczna;163.975;73.20245399;100.0;164.0;-0.18137053034192263;;;Srodek;Dzieci lub młodzież;gmina miejska;771.0
9686;iiilojanakochanowskiegowkrakowie;krakow nowa huta;MAŁOPOLSKIE;publiczna;166.35;77.29341317;100.0;167.0;3.4146960958735946;;;Srodek;Dzieci lub młodzież;gmina miejska;744.0
11182;viiilokomisjiedukacjinarodowejwgdansku;gdansk;POMORSKIE;publiczna;164.40833333333333;70.41666667;100.0;144.0;-3.0574540355938353;;;Srodek;Dzieci lub młodzież;gmina miejska;568.0
11305;xviiilojozefawybickiego;szczecin;ZACHODNIOPOMORSKIE;publiczna;74.5875;58.70454545;81.81818182;88.0;3.9469138355150264;;;Srodek;Dzieci lub młodzież;gmina miejska;473.0
11472;loidanutysiedzikownyinki;wroclaw srodmiescie;DOLNOŚLĄSKIE;publiczna;145.98333333333332;74.79577465;98.5915493;142.0;5.160978282713145;;;Srodek;Dzieci lub młodzież;gmina miejska;908.0
11473;loxiiboleslawachrobrego;wroclaw stare miasto;DOLNOŚLĄSKIE;publiczna;165.79500000000002;75.34;100.0;202.0;1.576931501600086;;;Srodek;Dzieci lub młodzież;gmina miejska;1092.0
11474;loiiiadamamickiewicza;wroclaw srodmiescie;DOLNOŚLĄSKIE;publiczna;172.76;85.29927007;100.0;137.0;10.084864040185806;;;Liderzy;Dzieci lub młodzież;gmina miejska;608.0
11475;loivstefanazeromskiego;wroclaw krzyki;DOLNOŚLĄSKIE;publiczna;154.29444444444445;72.42261905;99.4047619;168.0;1.0559881553176211;;;Srodek;Dzieci lub młodzież;gmina miejska;958.0
11476;loviboleslawaprusa;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;157.07999999999998;70.71069182;100.0;159.0;-1.236381475776028;;;Srodek;Dzieci lub młodzież;gmina miejska;628.0
11477;loviikrzysztofakamilabaczynskiego;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;163.68333333333334;69.61398176;99.09365559;331.0;-3.7090664818069854;;;Srodek;Dzieci lub młodzież;gmina miejska;1405.0
11478;loviiiboleslawakrzywoustego;wroclaw fabryczna;DOLNOŚLĄSKIE;publiczna;166.865;73.10294118;99.50980392;204.0;-0.8830894373680849;;;Srodek;Dzieci lub młodzież;gmina miejska;1008.0
11479;loxstefaniisempolowskiej;wroclaw psie pole;DOLNOŚLĄSKIE;publiczna;150.15;66.02714932;100.0;221.0;-4.475879597785934;;;Srodek;Dzieci lub młodzież;gmina miejska;1112.0
