index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
15,CX LO im. Roberta Schumana,Warszawie,130.45,ul. Jana III Sobieskiego 68 02-930 Warszawa Mokotów,Warszawa,15,83621,71,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,Warszawa,63.37260933,95.92666334666669,cx liceum ogólnokształcące im. roberta schumana,Miasto na prawach powiatu,MAZOWIECKIE,386.0,Mokotów,CX LICEUM OGÓLNOKSZTAŁCĄCE IM. ROBERTA SCHUMANA,ogólnodostępny,-32.55405401666668,32.55405401666668,66.966834732963,-3.5942254029629908,3.5942254029629908
16,CXI LO z Oddziałami Integracyjnymi im. Stefana Kisielewskiego,Warszawie,103.4,ul. Szczawnicka 1 04-089 Warszawa Praga-Południe,Warszawa,16,24585,84,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,Warszawa,50.11611517666668,61.33540372666667,cxi liceum ogólnokształcące z oddziałami integracyjnymi im. stefana kisielewskiego,Miasto na prawach powiatu,MAZOWIECKIE,303.0,Praga-Południe,CXI LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. STEFANA KISIELEWSKIEGO,"ogólnodostępny, integracyjny",-11.219288549999987,11.219288549999987,62.275492442918036,-12.159377266251354,12.159377266251354
18,CXIX LO im. Jacka Kuronia,Warszawie,146.60625000000002,ul. Złota 58 00-821 Warszawa Wola,Warszawa,18,16429,71,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,Warszawa,74.59429126666667,99.63768116,cxix liceum ogólnokształcące im. jacka kuronia,Miasto na prawach powiatu,MAZOWIECKIE,503.0,Wola,CXIX LICEUM OGÓLNOKSZTAŁCĄCE IM. JACKA KURONIA,ogólnodostępny,-25.043389893333327,25.043389893333327,69.76884947875001,4.82544178791666,4.82544178791666
19,CXXII LO im. Ignacego Domeyki,Warszawie,172.54166666666666,ul. Leopolda Staffa 3/5 01-891 Warszawa Bielany,Warszawa,19,34506,74,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,Warszawa,78.09595911666666,100.0,cxxii liceum ogólnokształcące im. ignacego domeyki,Miasto na prawach powiatu,MAZOWIECKIE,689.0,Bielany,CXXII LICEUM OGÓLNOKSZTAŁCĄCE IM. IGNACEGO DOMEYKI,ogólnodostępny,-21.904040883333337,21.904040883333337,74.26688707646794,3.8290720401987244,3.8290720401987244
20,CXXV LO im. Waldemara Milewicza,Warszawie,102.3625,ul. Chłodna 36/46 00-872 Warszawa Wola,Warszawa,20,20580,72,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,Warszawa,62.78122710666667,88.39743589666666,cxxv liceum ogólnokształcące im. waldemara milewicza,Miasto na prawach powiatu,MAZOWIECKIE,435.0,Wola,CXXV LICEUM OGÓLNOKSZTAŁCĄCE IM. WALDEMARA MILEWICZA,"ogólnodostępny, przygotowania wojskowego",-25.616208789999995,25.616208789999995,62.09555648632204,0.6856706203446308,0.6856706203446308
21,CXXXVII LO z Oddziałami Dwujęzycznymi im. Roberta Schumana,Warszawie,132.74285714285713,ul. Olgierda 35/41 03-536 Warszawa Targówek,Warszawa,21,44248,84,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,Warszawa,74.56474736333332,100.0,cxxxvii liceum ogólnokształcące z oddziałami dwujęzycznymi im. roberta schumana,Miasto na prawach powiatu,MAZOWIECKIE,679.0,Targówek,CXXXVII LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. ROBERTA SCHUMANA,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-25.435252636666675,25.435252636666675,67.36449010003572,7.200257263297601,7.200257263297601
22,Dwujęzyczne Liceum Uniwersyteckie im. Stanisława Barańczaka w Rzeszowie,Rzeszowie,130.75,,Rzeszów,22,119731,100,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,Rzeszów,71.14592592666666,100.0,dwujęzyczne liceum uniwersyteckie im. stanisława barańczaka w rzeszowie,Uczelnia Publiczna,PODKARPACKIE,188.0,Rzeszów,DWUJĘZYCZNE LICEUM UNIWERSYTECKIE IM. STANISŁAWA BARAŃCZAKA W RZESZOWIE,"dwujęzyczny w szkole podstawowej, liceum i technikum",-28.854074073333337,28.854074073333337,67.01886440715943,4.127061519507237,4.127061519507237
23,Europejskie Liceum Ogólnokształcące we Wrocławiu,Wroclaw,57.625,Wrocław ul. Marszowicka 150 54-078,Wrocław,23,21328,80,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU","ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",Wrocław,42.494222750000006,32.61682243,"zaoczne liceum ogólnokształcące ""cosinus"" we wrocławiu",Fundacje,DOLNOŚLĄSKIE,1145.0,Wrocław-Krzyki,"ZAOCZNE LICEUM OGÓLNOKSZTAŁCĄCE ""COSINUS"" WE WROCŁAWIU",ogólnodostępny,9.877400320000007,9.877400320000007,54.336631321779116,-11.84240857177911,11.84240857177911
29,"I LO im. Danuty Siedzikówny ""Inki""",Wroclaw,145.98333333333332,ul. Księcia Józefa Poniatowskiego 9 50-326 Wrocław Śródmieście,Wrocław,29,11472,72,"LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI""","LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI""",Wrocław,71.37826326666666,99.29903495333332,"liceum ogólnokształcące nr i im. danuty siedzikówny ""inki""",Miasto na prawach powiatu,DOLNOŚLĄSKIE,908.0,Wrocław-Śródmieście,"LICEUM OGÓLNOKSZTAŁCĄCE NR I IM. DANUTY SIEDZIKÓWNY ""INKI",ogólnodostępny,-27.920771686666654,27.920771686666654,69.66081564135602,1.7174476253106405,1.7174476253106405
31,I LO im. Juliusza Słowackiego,Częstochowie,131.9375,al. Aleja Tadeusza Kościuszki 8 42-202 Częstochowa Śródmieście,Częstochowie,31,38949,74,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,Częstochowa,75.61917927333333,99.75308642,i liceum ogólnokształcące im. juliusza słowackiego,Miasto na prawach powiatu,ŚLĄSKIE,644.0,Częstochowa,I LICEUM OGÓLNOKSZTAŁCĄCE IM. JULIUSZA SŁOWACKIEGO,ogólnodostępny,-24.133907146666672,24.133907146666672,67.22481520085364,8.39436407247969,8.39436407247969
32,I LO im. Karola Marcinkowskiego,Poznaniu,172.17499999999998,Poznań ul. Bukowska 16 60-809 Poznań-Grunwald Grunwald,Poznań,32,79204,72,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,Poznań,79.94228013333333,100.0,i liceum ogólnokształcące im. karola marcinkowskiego,Miasto na prawach powiatu,WIELKOPOLSKIE,788.0,Poznań,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-20.057719866666673,20.057719866666673,74.20329525245008,5.738984880883251,5.738984880883251
43,I LO z oddziałem integracyjnym im. Bolesława Limanowskiego,Warszawie,154.17777777777778,ul. Alojzego Felińskiego 15 01-513 Warszawa Żoliborz,Warszawa,43,19730,78,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,Warszawa,73.09314535666667,100.0,i liceum ogólnokształcące z oddziałami integracyjnymi im. bolesława limanowskiego,Miasto na prawach powiatu,MAZOWIECKIE,720.0,Żoliborz,I LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. BOLESŁAWA LIMANOWSKIEGO,"ogólnodostępny, integracyjny",-26.906854643333332,26.906854643333332,71.08199655690672,2.011148799759951,2.011148799759951
44,I Liceum Ogólnokształcące im. M. Kopernika,Bielsku-Białej,163.47,ul. Listopadowa 70 43-300 Bielsko-Biała,Bielsku-Białej,44,9380,99,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,Włocławek,61.831892970000006,96.69757801666668,ii liceum ogólnokształcące im m. kopernika,Miasto na prawach powiatu,KUJAWSKO-POMORSKIE,563.0,Włocławek,II LICEUM OGÓLNOKSZTAŁCĄCE IM M. KOPERNIKA,ogólnodostępny,-34.86568504666668,34.86568504666668,72.69356753951695,-10.861674569516943,10.861674569516943
