index,school,city,threshold,address,city_clean,threshold_idx,RSPO,match_score,matched_nazwa,nazwa_szkoły,miejscowosc,PPP_mean,O_zdawalnosc,match_key,organ_prowadzacy,wojewodztwo,liczba_uczniow,miejscowosc_rspo,nazwa_rspo,specyfika,diff_polski_zdawalnosc,abs_diff_polski_zdawalnosc,expected_PPP,threshold_discrepancy,abs_threshold_discrepancy
158,Liceum Służb Mundurowych We Wrocławiu,Wroclaw,59.39615384615384,ul. Kruszwicka 8a 53-652 Wrocław Stare Miasto,Wrocław,158,263069,100,LICEUM SŁUŻB MUNDUROWYCH WE WROCŁAWIU,LICEUM SŁUŻB MUNDUROWYCH WE WROCŁAWIU,Wrocław,51.47428163666667,69.90227018,liceum służb mundurowych we wrocławiu,Osoba fizyczna,DOLNOŚLĄSKIE,1094.0,Wrocław-Stare Miasto,LICEUM SŁUŻB MUNDUROWYCH WE WROCŁAWIU,"ogólnodostępny, przygotowania wojskowego, profil mundurowy",-18.427988543333335,18.427988543333335,54.64380651366959,-3.169524877002921,3.169524877002921
400,Zespół Szkół Ogólnokształcących Nr 10 im. Eugeniusza Kwiatkowskiego w Gdańsku - XXIII Liceum Ogólnokształcące,Gdańsku,98.23333333333332,ul. Ignacego Krasickiego 10 80-515 Gdańsk,Gdańsk,400,17601,100,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 10 IM. EUGENIUSZA KWIATKOWSKIEGO W GDAŃSKU - XXIII LICEUM OGÓLNOKSZTAŁCĄCE,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 10 IM. EUGENIUSZA KWIATKOWSKIEGO W GDAŃSKU - XXIII LICEUM OGÓLNOKSZTAŁCĄCE,Gdańsk,59.712345676666665,78.20105819999999,zespół szkół ogólnokształcących nr 10 im. eugeniusza kwiatkowskiego w gdańsku - xxiii liceum ogólnokształcące,Miasto na prawach powiatu,POMORSKIE,295.0,Gdańsk,ZESPÓŁ SZKÓŁ OGÓLNOKSZTAŁCĄCYCH NR 10 IM. EUGENIUSZA KWIATKOWSKIEGO W GDAŃSKU - XXIII LICEUM OGÓLNOKSZTAŁCĄCE,"ogólnodostępny, integracyjny",-18.488712523333326,18.488712523333326,61.37942583175726,-1.667080155090595,1.667080155090595
174,V LO im. Księcia Józefa Poniatowskiego,Warszawie,174.55,ul. Nowolipie 8 00-150 Warszawa Śródmieście,Warszawa,174,25682,76,V LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. JÓZEFA PONIATOWSKIEGO,V LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. JÓZEFA PONIATOWSKIEGO,Warszawa,81.26087121333335,100.0,v liceum ogólnokształcące im. ks. józefa poniatowskiego,Miasto na prawach powiatu,MAZOWIECKIE,562.0,Śródmieście,V LICEUM OGÓLNOKSZTAŁCĄCE IM. KS. JÓZEFA PONIATOWSKIEGO,ogólnodostępny,-18.739128786666654,18.739128786666654,74.6151968398385,6.645674373494842,6.645674373494842
145,LXXXI LO im. Aleksandra Fredry,Warszawie,164.51666666666668,ul. Miła 7 00-180 Warszawa Śródmieście,Warszawa,145,22927,72,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,Warszawa,80.69553758666666,100.0,lxxxi liceum ogólnokształcące im. aleksandra fredry,Miasto na prawach powiatu,MAZOWIECKIE,537.0,Śródmieście,LXXXI LICEUM OGÓLNOKSZTAŁCĄCE IM. ALEKSANDRA FREDRY,ogólnodostępny,-19.30446241333334,19.30446241333334,72.8750932917134,7.820444294953262,7.820444294953262
396,XXXVII LO im. Jarosława Dąbrowskiego,Warszawie,167.28,ul. Świętokrzyska 1 00-360 Warszawa Śródmieście,Warszawa,396,28516,78,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,Warszawa,80.43234193666666,100.0,xxxvii liceum ogólnokształcące im. jarosława dąbrowskiego,Miasto na prawach powiatu,MAZOWIECKIE,727.0,Śródmieście,XXXVII LICEUM OGÓLNOKSZTAŁCĄCE IM. JAROSŁAWA DĄBROWSKIEGO,ogólnodostępny,-19.56765806333334,19.56765806333334,73.35434440181163,7.0779975348550295,7.0779975348550295
47,II LO im. Generałowej Zamoyskiej I Heleny Modrzejewskiej,Poznaniu,190.83333333333331,Poznań ul. Jana Matejki 8/10 60-766 Poznań-Grunwald Grunwald,Poznań,47,82414,83,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,Poznań,80.08777651999999,100.0,ii liceum ogólnokształcące im. generałowej zamoyskiej i heleny modrzejewskiej,Miasto na prawach powiatu,WIELKOPOLSKIE,511.0,Poznań-Grunwald,II LICEUM OGÓLNOKSZTAŁCĄCE IM. GENERAŁOWEJ ZAMOYSKIEJ I HELENY MODRZEJEWSKIEJ,"ogólnodostępny, międzynarodowy",-19.91222348000001,19.91222348000001,77.43925193372262,2.648524586277375,2.648524586277375
8,CLXI Liceum Ogólnokształcące im. Władysława Bartoszewskiego,Warszawie,138.65833333333333,ul. Smocza 19 01-051 Warszawa Wola,Warszawa,8,40982,73,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny,-19.93185941,19.93185941,68.39042442972648,11.677716160273519,11.677716160273519
227,VIII LO im. Władysława IV,Warszawie,173.1,ul. Jagiellońska 38 03-719 Warszawa Praga-Północ,Warszawa,227,40982,71,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,Warszawa,80.06814059,100.0,viii liceum ogólnokształcące im. władysława iv,Miasto na prawach powiatu,MAZOWIECKIE,622.0,Praga-Północ,VIII LICEUM OGÓLNOKSZTAŁCĄCE IM. WŁADYSŁAWA IV,ogólnodostępny,-19.93185941,19.93185941,74.36372008122241,5.704420508777588,5.704420508777588
377,XXVIII LO im. Jana Kochanowskiego,Warszawie,170.985,ul. Wiktorska 99 02-575 Warszawa Mokotów,Warszawa,377,22592,76,XXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KOCHANOWSKIEGO,XXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KOCHANOWSKIEGO,Warszawa,79.95271388666667,100.0,xxviii liceum ogólnokształcące im. jana kochanowskiego,Miasto na prawach powiatu,MAZOWIECKIE,760.0,Mokotów,XXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KOCHANOWSKIEGO,ogólnodostępny,-20.047286113333328,20.047286113333328,73.99691087813757,5.955803008529102,5.955803008529102
32,I LO im. Karola Marcinkowskiego,Poznaniu,172.17499999999998,Poznań ul. Bukowska 16 60-809 Poznań-Grunwald Grunwald,Poznań,32,79204,72,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,Poznań,79.94228013333333,100.0,i liceum ogólnokształcące im. karola marcinkowskiego,Miasto na prawach powiatu,WIELKOPOLSKIE,788.0,Poznań,I LICEUM OGÓLNOKSZTAŁCĄCE IM. KAROLA MARCINKOWSKIEGO,"ogólnodostępny, dwujęzyczny w szkole podstawowej, liceum i technikum",-20.057719866666673,20.057719866666673,74.20329525245008,5.738984880883251,5.738984880883251
